"","id1","name1","address1","id2","name2","address2"
"255",15,"west juliett","30 llewellyn st",303,"west juliett","30 llewellyn st"
"651",42,"fortytwo restaurant/cafe","134aenmore rd newtown",189,"42 fortytwo","134a enmore rd"
"652",42,"fortytwo restaurant/cafe","134aenmore rd newtown",190,"42 fortytwo","134a enmore rd"
"654",45,"silverbean","99 enmore rd",272,"silverbean cafe","99 enmore rdenmore"
"709",51,"sydney portugal community club","100 marrickville rd",227,"sydney portugal community club pty ltd","100 marrickville rd"
"782",55,"celinis","220 marrickville rd",83,"celinis cafe licensed restaurant byo","220 marrickville rd"
"895",61,"phd pho hai duong","308 illawrra rd",250,"hai duong restaurant","304 illawarra rd"
"1008",72,"lat-dior african eatery","150 enmore rd",259,"african express eatery","150 enmore rd"
"1038",75,"bus stop espresso","297 enmore rd",173,"bus stop expresso","297 enmore rd"
"1326",104,"japanese kitchen sakae","303 illawarra rd",182,"japanese kitchen sakae","303 illawarra rd"
"1449",116,"freepour expresso","276 marrickville rd",122,"free pour espresso","shop 3, 276-278 marrickville rd"
"1451",117,"beach burrito company","1a bedford st",153,"beach burrito","1a bedford st"
"1753",138,"urban cat cafe","106 erskineville rd",301,"urban cat cafe","106 erskineville rd"
"1782",140,"azzurri pizzeria","85 enmore rd",275,"cafe azzurri","90 enmore rd"
"1825",148,"erskineville turkish pide & kebab","49 erskineville rd",192,"erskineville turkish pide & kebabs","49 erskineville rd"
"1887",152,"remember saigon vietnamese restaurant","4/80 enmore rd",194,"remember saigon vietnamese restaurant","shop 480 enmore rd"
"2227",189,"42 fortytwo","134a enmore rd",190,"42 fortytwo","134a enmore rd"
"2323",213,"faheems indian fast food restaurant","194-196 enmore rd enmore",247,"faheem fast food","194-196 enmore rd"
"2700",285,"costa da sol","102 new canterbury rd",3741,"costa do sol","77 new canterbury rd"
"2751",294,"buzzbar cafe","349 king st",311,"buzzz bar","349 king st"
"2752",294,"buzzbar cafe","349 king st",324,"buzzz bar","349 king st"
"2772",295,"rickettys gourmet cafe","10 ricketty st",296,"ricketty","10 ricketty st"
"2891",311,"buzzz bar","349 king st",324,"buzzz bar","349 king st"
"3221",343,"deus cafe","98-104 parramatta rd",353,"deus ex machina","98-104 parramatta rd"
"3262",346,"runcible spoon","27 barr st",720,"runcible spoon","27 barr st"
"3370",355,"black sheep","256 king st",424,"blacksheep","256 king st"
"3510",365,"bion","7 layton st cnr lambert st",535,"bion societe","12/14 layton st"
"3518",366,"wellco cafe","39-45 norton st",541,"well co","39-45 norton st"
"3644",370,"kammadhenu","171 king st n",682,"kammandenu","171 king st"
"4073",389,"friendly cafe","319 balmain rd",680,"friendly coffee","319 balmain rd"
"4077",390,"green palace","182 king st",585,"green palace thai vegetarian","182 king st"
"4078",390,"green palace","182 king st",586,"green palace thai vegetarian","182 king st"
"4460",422,"tamanas","196 king st",454,"tamanas north indian diner","196 king st"
"4464",425,"la perrillada","454 parramatta rd",557,"la parrillada","470 paramatta rd"
"4466",425,"la perrillada","454 parramatta rd",628,"la perrillada","470 great western hwy"
"4559",435,"big brekky","316 stanmore rd",521,"big breakfast","stanmore rd"
"4633",449,"satellite","8/80 wilson st",706,"satellite espresso bar","80 wilson st"
"4719",455,"la giara restaurant","the italian forum shp 35/ 23 norton st",674,"la giara","23 norton st"
"4755",460,"pad thai house","151b bridge rd",3744,"pad thai five dollar","151b bridge rd"
"5089",489,"berkelouw books","70 norton st",551,"berkelouw cafe","70 norton st"
"5274",501,"nee lum chinese restaurant","164 norton st",627,"nee lum take away food bar","164 norton st"
"5455",515,"astor espresso","166 glebe point rd",572,"astor expresso","166 glebe point rd"
"5478",516,"asian king restaurant","121 king st",699,"asian king noodle cafe","121 king st"
"5496",519,"the colonial","31 norton st",528,"the colonial leichhardt","31 norton st"
"5515",522,"new saigon","44 ross st",709,"saigon lemongrass","44 ross st"
"5525",526,"crust gourmet pizza bar","113a booth st",534,"crust pizza","113a booth st"
"5918",557,"la parrillada","470 paramatta rd",628,"la perrillada","470 great western hwy"
"5946",564,"azzurri pizzeria restaurant","136 marion st",663,"azzurri pizzeria & italian restaurant","136 marion st"
"5951",565,"dirty dog","170 king st",691,"dirty dogs","170 king st newtown"
"6089",578,"robertas pizzeria","1 young st",592,"robertas pizzeria","183a parramatta rd"
"6142",585,"green palace thai vegetarian","182 king st",586,"green palace thai vegetarian","182 king st"
"6394",609,"konya turkish pizza & kebab house","89 parramatta rd",714,"konya kebabs burgers pides & pizzas","89 parramatta rd"
"6444",617,"seven","33 norton st",618,"gallery seven cafe","33 norton st"
"6482",624,"gusto gourmet pizza","39 norton st",636,"gusto gourmet pizza","5 norton st"
"6554",633,"al bomemero restaurant","13 norton st",634,"al vomero seafood restaurant & pizzeria","13 norton st"
"6753",687,"c & j coffee lounge","281 king st",728,"cafe c","281 king st"
"6781",692,"galanga","182 king st",693,"galanga rice & noodle bar","182 king st"
"6957",736,"the grounds of alexandria","bldg 7a2 huntley st",805,"the grounds of alexandria","building 7a2 huntley st"
"6967",739,"kepos street kitchen","96 kepos st",909,"kefpos street kitchen","96 kepos st"
"6968",739,"kepos street kitchen","96 kepos st",928,"kepos street kitchen","96 kepos st"
"7026",751,"crust gourmet pizza bar","486 botany rd",829,"crust pizza","486 botany rd"
"7227",784,"sugarbaby","1-5 bourke stunit 140",819,"sugar baby cafe","shop 1401-5 bourke st"
"7272",794,"indian leaf","shop er013 hunter st",835,"indian leap","22 - 26 mcevoy st"
"7514",844,"tavolino pizzeria","shop 71-5 bourke st",950,"tavolino pizzeria","shop 71-5 bourke st"
"7568",859,"grill king","60 botany rd",908,"grill king","60 botany rd"
"7697",889,"parini restaurant","126 anzac pde",900,"parini italian restaurant","126 anzac pde"
"7723",902,"ola lola cafe & eatery","39/101 doody st",916,"ola lola","unit 39 101 doody st"
"7747",909,"kefpos street kitchen","96 kepos st",928,"kepos street kitchen","96 kepos st"
"7750",910,"turpan restaurant","shop 6240 anzac pde",945,"tupan restaurant","240 anzac pde"
"7791",929,"fox balkan seafood","bent st, fox studios",941,"fox balkan seafood","bent st, fox studios"
"8230",974,"red chilli sichuan restaurant","51-53 dixon sthaymarket",3934,"red chilli sichuan restaurant","29 dixon st"
"10656",1011,"churrasco","60-70 william st",4562,"churrasco pty ltd","60-70 william st"
"10657",1011,"churrasco","60-70 william st",4766,"churrasco pty ltd - brazilian style bbq","60-70 william st"
"10716",1014,"harumi","106-110 darlinghurst rd",4600,"harumi","110 darlinghurst rd"
"10736",1016,"made in italy","104 miller st",2499,"made in italy","shop g0155 miller st"
"10755",1016,"made in italy","104 miller st",3958,"made in italy","shop g0155 miller st"
"10844",1018,"taiwan ganbei","52 dixon st",2270,"itaiwan","52 dixon st"
"11487",1027,"kantine","185 campbell st",4792,"kantine","185 campbell st"
"11821",1033,"fundamental food flamminn","shop 1-2, 131-145 glebe point rd",3972,"fundamental food flaming","shop 1/ 131 glebe point rd"
"11822",1033,"fundamental food flamminn","shop 1-2, 131-145 glebe point rd",4201,"fundamental food flamminn","shp1/ 131 glebe point r"
"12963",1054,"blue wok thai","666 crown st",4413,"the blue wok","666 crown st"
"13471",1059,"arras restaurant","204 clarence st",2520,"arras too","204 clarence st"
"13619",1061,"takeru japanese cuisine","339-345 sussex st",1228,"takeru restaurant","10/339 sussex st"
"13623",1061,"takeru japanese cuisine","339-345 sussex st",2575,"takeru","g/f 339 sussex st"
"13625",1061,"takeru japanese cuisine","339-345 sussex st",4089,"takeru restaurant","shop 10339- 345 sussex st"
"14040",1071,"le pain quotidien","level 4pitt st mall and market st",1154,"le pain quotidien sydney westfield","188 pitt stshop 4020a level 4"
"14302",1072,"pakwaan","2 darling drv",4181,"pakwaan","harbourside shopping centrelevel 1, food ct"
"14628",1079,"s thada thai cuisine","245 victoria st",4647,"thada thai cuisine","245 victoria st"
"14715",1080,"burger project","world sq shopping centreshop 11.06, 644 george st",4672,"burger project","world sq shopping centre398-408 pitt st"
"14716",1080,"burger project","world sq shopping centreshop 11.06, 644 george st",4676,"burger project","91-95 liverpool st"
"14989",1085,"sonoma bakery","215-a glebe point rd",4193,"sonoma bakery","215-a glebe point rd"
"15423",1094,"xage","u1/ 333 crown st",4874,"xaga","u1/ 333 crown st"
"16782",1114,"guzman y gomez mexican taqueria","australia sq food ct, shop 404, 364 george st",4650,"guzman y gomez mexican taqueria","australia sq food ct, shop 404, 364 george st"
"17261",1121,"mad mex fresh mexican grill","shop 430 a, harbourside shopping centre darling drv",3979,"mad mex fresh mexican grill","shop 430 a, harbourside shopping centre darling drv"
"19042",1157,"glider","197 victoria stpotts point",4610,"glider cafe","197 victoria stpotts point"
"19366",1164,"top choice sizzling & hot pot","401 sussex st",3966,"top choice fast food","401 sussex st"
"21274",1184,"pizza e birra","500 crown st",1303,"pizza birra","shop 1, 500 crown st"
"22000",1194,"no name restaurant","2 chapel st",1268,"no name darlinghurst","83 stanley st"
"22670",1207,"rolls vietnam","shop 2363 oxford st",4755,"rolls vietnam","shop 2363 oxford st"
"23651",1220,"fishermans wharf australia pty ltd","50 bank st",2433,"fishermans wharf seafood restaurant","sydney fish market pty ltdbank st"
"23787",1223,"uno expresso cafe","60 park st",2602,"uno espresso","60 park stshop 2"
"24203",1228,"takeru restaurant","10/339 sussex st",2575,"takeru","g/f 339 sussex st"
"24205",1228,"takeru restaurant","10/339 sussex st",4089,"takeru restaurant","shop 10339- 345 sussex st"
"24374",1231,"tappo","shop 12-14 bunn st",3908,"tappo osteria","cnr pyrmont & bunn stpyrmont"
"25315",1241,"caysorn","shop 106quay st haymarket 8",4188,"caysorn thai","shop 106-108a, level 18 corner thomas & quay st"
"25900",1260,"yachiyo","208 devonshire st",2322,"yachiyio","208 devonshire st"
"26581",1271,"studio 4 cafe","1 saunders st",4131,"studio 4","1 saunders st"
"26852",1279,"o!momo","world bar24 bayswater rd",4904,"o!momo","24 bayswater rdkings cross"
"28115",1296,"kung fu ramen","215a thomas st",2529,"kungfu ramen","219-221 thomas st"
"28239",1297,"paper box thai","274-290 victoria st",4656,"paper box thai noodle bar","274-290 victoria st"
"29480",1312,"t2b","shop 15gwestfield sydney, 450 george st",1359,"t2","shop 15g450 george st"
"29481",1312,"t2b","shop 15gwestfield sydney, 450 george st",2607,"t2 - t2b","queen victoria buildingshop lg99, 455 george st"
"29764",1321,"pasta vera cafe restaurant","186 harris st",4195,"pasta vera","186- 188 harris st"
"31495",1351,"stanley st merchants","78 stanley st",2469,"stanley street merchants","78 stanley st2010"
"31497",1351,"stanley st merchants","78 stanley st",4624,"stanley street merchants","78 stanley stdarlinghurst"
"32038",1359,"t2","shop 15g450 george st",2607,"t2 - t2b","queen victoria buildingshop lg99, 455 george st"
"32680",1365,"mamak","15 goulburn stchinatown",3930,"mamak","15 goulburn st"
"33781",1383,"berta","17-19 alberta st",4920,"bertas","alberta st"
"35867",1409,"ramen ikkyu","shop f1a, sussex centre food ct401 sussex st",3940,"ikkyu","401 sussex st"
"36566",1417,"chat thai","lg shop 1-2500 george st",4658,"chat thai","500 goerge st"
"37203",1430,"red lantern","545 crown st",4405,"red lantern on crown","545 crown st"
"37216",1430,"red lantern","545 crown st",4459,"red lantern","545 crown st"
"37928",1441,"menya noodle bar chinatown","shop tg88 quay st",2349,"menya japan pty","8 quay st"
"39108",1471,"love supreme","180 oxford st",4439,"lovers supreme","180 oxford st"
"39147",1472,"cafe giulia","92 abercrombie st",3862,"dining at cafe giulia","92 abercrombie st"
"41239",1509,"spice i am restaurant","296 victoria st",2505,"spice i am","296- 300 victoria st"
"41246",1509,"spice i am restaurant","296 victoria st",4654,"spice i am","296- 300 victoria st"
"41800",1518,"caffe tiamo","374 pitt st",4997,"caffe tiamo","374 pitt st"
"42890",1533,"super bowl chinese restaurant","41 dixon st",2379,"superbowl chinese restaurant","41 dixon st"
"43337",1539,"gastro park","5-9 roslyn st",4722,"gastropark","5-9 roslyn"
"43338",1539,"gastro park","5-9 roslyn st",4931,"gastro bar","5-9 roslyn st"
"43967",1551,"kiroran silk road uygur","shop 36 dixon st",4075,"kiroram silkwood road restaurant","6 harbour st"
"44205",1555,"honeycomb","354 liverpool st",4679,"honeycomb","354 liverpool st"
"44329",1562,"guzman y gomez","bayswater rd corner pennys lane",4688,"guzman y gomez mexican taqueria","bayswater rd (cnr pennys lane)"
"44736",1571,"coco cubano","191 oxford st",4619,"coco cubano","191 oxford st"
"45408",1581,"tropicana caffe","227b victoria st",2443,"tropicana cafe","227b victoria st"
"46483",1601,"tapeo","82 redfern st",2328,"tapeo bakery","82 redfern st"
"46682",1604,"low 302","302 crown st,",4787,"low","302 crown st"
"46691",1605,"crust gourmet pizza bar","610 crown st",4404,"crust pizza","610 crown st"
"47511",1643,"the royal oak","36 college st",1650,"royal oak hotel","36 college st"
"47780",1665,"kafeine","260 darling st",1725,"kaffeine","260 darling st"
"47781",1666,"pj gallaghers drummoyne","195 victoria rd",1807,"p j gallaghers irish pub drummoyne","195 victoria rd"
"48085",1692,"all about romanas","260 darling st",1786,"romanas","260 darling st"
"48105",1694,"the bean","612 darling st",1743,"coffee bean cafe","612 darling st"
"48138",1697,"alfies store","348 darling st",1763,"alfies store","348 darling st"
"48148",1699,"sushi man","321a darling st",1814,"sushi man","321a darling st"
"48331",1710,"jean louis joseph","19a roseby stbirkenhead point",1800,"jean louis joseph","146/19a roseby st"
"48383",1718,"lipari pizza","681 darling st",1724,"lipari pizzeria","681 darling st"
"48384",1718,"lipari pizza","681 darling st",1755,"lipari pizzeria restaurant","703 darling st"
"48428",1721,"cafe next","618 darling st",1798,"next on darling","618 darling st"
"48429",1724,"lipari pizzeria","681 darling st",1755,"lipari pizzeria restaurant","703 darling st"
"48712",1787,"baileys sausalito cafe restaurant","246 darling st",1788,"sausalito","246 darling st"
