id,dinder_score
6,92.57574388
4,96.21321904
5,84.66026205
7,90.70523614
9,93.65693977
8,95.35340928
13,95.7202135
11,86.90728414
12,93.56523872
14,61.31942789
10,94.71914365
15,92.73992922
16,91.08166849
17,89.0316919
19,89.79586735
22,85.78860234
20,86.13546693
21,75.10967862
23,77.05068427
24,57.52911764
25,88.6113954
26,88.11169572
2,97.72235319
3,88.60375364
29,84.87457743
30,74.17147101
185,0
31,76.93778616
32,75.16930313
33,79.55126621
34,78.01892434
35,94.00081872
36,79.31902187
37,76.82143163
39,84.75696548
40,79.15754576
38,86.25009324
42,59.18562283
43,85.27959042
41,77.84416324
44,67.30518446
45,87.71731012
46,72.16760312
47,60.40849491
48,78.97414366
50,85.45733714
51,63.14405169
53,76.75265584
49,89.39849612
28,57.17759693
61,79.02398515
57,59.78932144
60,73.88699789
58,50.31373715
62,55.61935327
59,81.70324929
64,67.87789995
65,62.25760816
66,83.11823738
67,81.69859924
63,63.0428197
68,61.29070753
69,52.00361884
70,64.28744466
71,53.61249064
72,56.24507508
73,58.98082321
74,58.87383864
75,63.24914708
76,60.73689901
77,60.95850989
78,78.63790646
79,96.76342537
80,56.1061871
81,54.81265006
56,68.48201466
83,79.42517726
84,58.33738808
85,56.14573227
86,55.50248849
87,67.67157258
88,59.02667373
89,52.66845148
90,49.93270336
91,45.57764132
93,58.27625404
94,52.36660218
95,64.04388955
92,55.8977792
96,50.07025494
97,51.42284549
100,54.56388908
101,49.76458476
102,58.24587837
103,34.18856898
104,52.20230446
105,53.08110623
106,42.51043968
107,50.6815953
108,61.45333476
109,52.90534588
82,44.33429505
112,52.72194377
113,41.95968665
114,33.74591518
115,58.56052671
116,52.41627358
117,41.6282301
118,56.47299132
119,65.30379801
120,41.90619436
121,57.05376466
122,58.30070705
123,35.23605732
124,53.31800062
125,95.75078052
127,43.07878758
128,41.17258593
129,49.9250616
130,42.02846244
131,38.02396437
132,44.5974071
133,40.66058837
134,32.35526772
135,42.57102701
136,29.28522017
202,0
111,83.28635598
139,42.135447
140,37.15955619
141,33.95239442
143,0
145,31.13258699
144,34.58095607
146,55.61080945
147,31.95025473
148,0
149,42.94165211
150,45.93339901
226,0
151,63.57010077
152,0
153,47.44913313
154,31.14216652
155,57.65138571
156,0
157,26.43484572
158,53.29507536
159,0
160,42.20422279
161,35.82170547
162,37.90191498
163,0
164,37.29821637
165,0
166,0
138,35.46221802
169,41.18786944
170,52.63788447
171,0
172,77.57969354
173,0
174,0
176,55.79443935
177,0
178,0
179,0
180,0
181,28.75029735
182,0
183,0
184,0
3323,0
186,43.17048864
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,37.45869322
199,60.33431583
200,0
201,0
168,0
205,41.40183856
206,0
207,0
208,0
209,0
210,0
211,0
212,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
271,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
204,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
266,0
267,0
268,0
269,0
270,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
244,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,55.85574955
295,0
296,0
297,0
298,0
300,42.53336495
301,0
302,0
303,51.73615743
304,0
305,0
306,0
308,40.22848603
309,34.35740741
310,80.13668961
311,48.72604419
312,0
175,0
313,42.39526666
314,0
315,44.12548016
316,0
317,80.77221874
318,43.42821865
319,57.79657905
522,30.11052966
523,66.54274329
286,0
557,0
321,49.42908561
322,42.08761922
323,39.99159164
324,47.46942205
325,52.98204589
433,59.44544249
27,67.41981078
52,43.82003777
54,67.5493045
55,64.11648622
98,50.50634521
99,53.74593888
110,62.00354108
126,59.76815172
137,52.33985604
142,52.08077444
167,0
615,0
203,0
213,57.3839243
243,0
265,0
299,0
307,55.96255795
434,51.53056811
320,44.09651682
326,98.84198261
327,90.48362526
328,95.88069034
329,90.43013298
330,96.09465947
331,88.29044171
332,99.42275595
333,90.68231088
334,96.0564507
335,97.17978862
336,97.3173402
337,92.56702086
338,88.30572522
339,81.7185328
340,86.38000307
341,95.22349945
342,85.29487393
343,88.00769679
344,86.62453922
345,84.89750269
346,93.16786748
347,81.65174338
348,93.71807381
349,56.27586989
350,85.64639463
351,84.39314689
352,86.59098657
353,76.192545
354,61.29650263
355,78.78893741
356,92.01396254
357,86.54812167
358,73.87935613
359,93.32834432
360,78.75353203
361,94.19950434
362,68.78726874
363,79.12797801
364,81.17131817
365,85.87564727
366,87.86376695
367,79.1967538
368,77.10291305
369,60.73865455
370,77.23282288
3480,0
371,89.24566103
372,86.05140763
373,58.08696572
374,73.18269297
375,86.40292833
376,76.72746782
521,53.40970168
377,80.9839251
378,83.30037599
379,86.02084061
380,78.50899589
381,79.42726994
382,82.67375212
383,71.66862631
384,84.12767185
385,95.60558718
386,60.37009479
387,57.35312949
388,88.29808346
389,63.27396152
390,81.7816532
391,81.54941494
392,75.06879098
393,87.52752975
394,62.18119062
395,56.94070254
396,63.28924503
397,57.00183657
618,0
398,59.62120284
399,63.19754397
400,62.73332864
401,53.33379439
402,69.34553293
403,66.08423801
